,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,2015,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,73000000000
1,2015,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,46720000000
2,2015,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,68380000000
3,2015,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,120000000000
4,2015,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,4000000000
5,2015,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INEC,62000000000
6,2015,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,1516000000
7,2015,DEBT SERVICE,RECURRENT  EXPENDITURE,DOMESTIC DEBTS,894610000000
8,2015,DEBT SERVICE,RECURRENT  EXPENDITURE,FOREIGN DEBTS,59010000000
9,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PRESIDENCY,20085865120
10,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRAQTION,48389942264
11,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,YOUTH DEVELOPMENT,69423427479
12,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE AFFAIRS,4456267942
13,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE FORMATION AND COMMANDS,303822224611
14,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WOMEN AFFAIRS,1393073862
15,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,31869020717
16,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WATER RESOURCES,7668953562
17,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,2817298014
18,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFFENCES COMMISSION,4610936843
19,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,338797219431
20,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,EDUCATION,392363784654
21,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FOREIGN AFFAIRS,41649382166
22,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FINANCE,12892501022
23,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,HEALTH,237075742847
24,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,TRADE AND INVESTMENT,10941859480
25,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFORMATION,23682420241
26,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,COMMUNICATION TECHNOLOGY,10592048381
27,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INTERIOR,153330022460
28,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,6349028054
29,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,JUSTICE,18944638350
30,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,LABOUR AND PRODUCTIVITY,8305830880
31,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POWER,4476813831
32,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SCIENCE AND TECHNOLOGY,26590103366
33,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,TRANSPORT,9260812531
34,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PETROLEUM RESOURCES,58274429975
35,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,WORKS,25173916543
36,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,LANDS & HOUSING,5649088618
37,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MINES & STEEL DEVELOPMENT,10031109540
38,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,AVIATION,6363889393
39,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",675109533
40,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,ENVIRONMENT,15599334341
41,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",18081478935
42,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL PLANNING COMMISSION,6720386693
43,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL SPORTS COMMISSION,5163253493
44,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,62226771999
45,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NIGER-DELTA,2134200737
46,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SPECIAL DUTIES,67485037
47,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,SPECIAL DUTIES AND INTERGOVERNMENTAL AFFAIRS,565031449
48,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,345263134
49,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,915168504
50,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,5293800054
51,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,1935767344
52,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,493656088
53,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,2207213456
54,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1125005114
55,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,740477185
56,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,2167931068
57,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION),35832111020
58,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,30282408828
59,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,GRATUITIES,2300000000
60,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST,400000000
61,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,REINBURSEMENT TO STATES,250000000
62,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,FEDERATION AND FEDERAL PERMANENT SECRETARIES.,2599702192
63,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),89596546483
64,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSIONS,70673939944
65,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,2013 RETIREES,2656915035
66,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,DEATH BENEFITS,15400000000
67,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,ADMIN. CHARGES,265691504
68,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,PENSION RUNNING COST,450000000
69,2015,EXECUTIVE ARM,RECURRENT (NON DEBT) EXPENDITURE,YEARLY VERIFICATION EXERCISE,150000000
70,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,POLICE PENSIONS AND GRATUITIES,9625893057
71,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,9225893057
72,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,VERIFICATION EXERCISES FOR THE YEAR,400000000
73,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISONS PENSION OFFICE",9456800000
74,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,9256800000
75,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,200000000
76,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,UNIVERSITIES' PENSIONS INCLUDING ARREARS,17290000001
77,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,17290000001
78,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PARASTATALS' PENSION AND RAILWAY PENSIONS,35434750308
79,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,35434750308
80,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PRE-1996 NIGERIA RAILWAY CORPORATION PENSION,2357298262
81,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS,2257298262
82,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSION RUNNING COST,100000000
83,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,DEPARTMENT OF STATE SECURITY,9855948644
84,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS (INCLUDING ARREARS),9855948644
85,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,4709146567
86,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PENSIONS/DEPENDANTS BENEFITS,4709146567
87,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO,16900000001
88,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NELMCO PENSION/ARREARS,16900000001
89,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SERVICE WIDE VOTES TOTAL ALLOCATION:,354335011023
90,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF PAYG PENSION INCLUDING DPR,3000000000
91,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF 33% INCREASE IN PENSION RATES,18000000000
92,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVIL SERVANTS,500000000
93,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT INTO THE REDEMPTION FUND (5% OF TOTAL PERSONNEL COST),60251158887
94,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF POLICE DEATH BENEFITS (2004 - 2010),3750000000
95,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,GROUP LIFE INSURANCE FOR ALL MDAs  INCLUDING DSS,14390036516
96,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARMED FORCES ENHANCED RETIREMENT BENEFITS OFCOMMODORES AND ABOVE ETC.,1000000000
97,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,35TH  ANNUAL GENERAL MEETING AND SYMPOSIUM OF SHELTER-AFRIQUE IN NIGERIA IN JUNE 2016,250000000
98,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,SEVERANCE BENEFITS OF THE DELTA STEEL COMPANY/PENSION PAAY -OFF,2995000000
99,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,NHIS (MILITARY RETIREES),3544110811
100,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ADMINISTRATION AND MONITORING OF (OHCSF) GROUP LIFE,36000000
101,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PUBLIC SERVICE WAGE ADJUSTMENT FOR MDAs (INCLUDING ARREARS OF PROMOTION AND SALARY INCREASE),38987017746
102,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ARREARS OF 2014 SALARY INCREASE FOR MEDICAL DOCTORS AND OTHER HEALTH PROFESSIONAL,11100000000
103,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,OPERATIONS - INTERNAL FOR THE ARMED FORCES,22000000000
104,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,CONTRIBUTION TO INTERNATIONAL ORGANISATIONS INCLUDING WAEC INTERNATIONAL,6000000000
105,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,PAYMENT OF COUNTRY CONTRIBUTIONS TO PAN - AFRICAN WRITERS ASSOCIATION (PAWA),208000000
106,2015,EXECUTIVE ARM,RECURRENT(NON DEBT)  EXPENDITURE,ASSESSED CONTRIBUTION TO AFRICAN UNION AND OTHERS,4500000000
