,Unnamed: 0,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
0,0.0,2010.0,STATUTORY,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,91000000000.0
1,1.0,2010.0,STATUTORY,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,35624771198.0
2,2.0,2010.0,STATUTORY,NON RECURRENT  EXPENDITURE,NDDC ARREARS OF SHARE OF EXCESS CRUDE DISTRIBUTED IN 2009,9312986292.0
3,3.0,2010.0,STATUTORY,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,44341401504.0
4,4.0,2010.0,DEBT SERVICE,NON RECURRENT  EXPENDITURE,DOMESTIC DEBTS,478155330805.0
5,5.0,2010.0,DEBT SERVICE,NON RECURRENT  EXPENDITURE,FOREIGN DEBTS,38916496647.0
6,6.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PRESIDENCY(SGF),21263883863.0
7,7.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FEDERATION SGF  ,41629016547.0
8,8.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,YOUTH DEVELOPMENT,43257496307.0
9,9.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE AFFAIRS,2124217101.0
10,10.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE FORMATION AND COMMANDS,186478587276.0
11,11.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,WOMEN AFFAIRS,2268469707.0
12,12.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AGRICULTURE AND WATER RESOURCES,31583959848.0
13,13.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES,2367293277.0
14,14.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,COMMISSION,1924193886.0
15,15.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,192594871801.0
16,16.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,EDUCATION,195418320506.0
17,17.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRARTION,0.0
18,18.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FOREIGN AND INTERGOVERNMENTAL AFFAIRS,34893151006.0
19,19.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FINANCE,9594336506.0
20,20.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,HEALTH ,111855511090.0
21,21.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,COMMERCE AND INDUSTRY,8844824739.0
22,22.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INFORMATION AND COMMUNICATIONS ,18933740953.0
23,23.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INTERIOR ,81582227580.0
24,24.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION ,5851360586.0
25,25.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,JUSTICE ,15070742417.0
26,26.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,LABOUR AND PRODUCTIVITY ,6340004280.0
27,27.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POWER ,3580819527.0
28,28.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,SCIENCE AND TECHNOLOGY ,16086587085.0
29,29.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,TRANSPORT ,5459041820.0
30,30.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PETROLEUM RESOURCES ,34077998251.0
31,31.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,"WORKS, HOUSING AND URBAN DEVELOPMENT ",28119267120.0
32,32.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,MINES AND STEEL DEVELOPMENT ,7364872700.0
33,33.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AVIATION ,6282544568.0
34,34.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,"NATIONAL SALARIES, INCOMES AND WAGES COMMISSION ",590637276.0
35,35.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,ENVIRONMENT ,8579598029.0
36,36.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,CULTURE AND NOA ,12326968443.0
37,37.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NATIONAL PLANNING COMMISSION ,4901887458.0
38,38.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NATIONAL SPORTS COMMISSION ,5477933044.0
39,39.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER ,39958468267.0
40,40.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NIGER-DELTA ,3130546501.0
41,41.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,SPECIAL DUTIES ,203976119.0
42,42.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FISCAL RESPONSIBILTY COMMISSION ,697740873.0
43,43.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INFRASTRUCTURE CONCESSION REGULATORY COMMISSION ,1580711774.0
44,44.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NATIONAL POPULATION COMMISSION ,3897923307.0
45,45.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,CODE OF CONDUCT BUREAU ,954673475.0
46,46.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,CODE OF CONDUCT TRIBUNAL ,277530884.0
47,47.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION ,1730437778.0
48,48.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION ,1519188809.0
49,49.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION ,1016261074.0
50,50.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,POLICE SERVICE COMMISSSION ,604104757.0
51,51.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC) ,39302309195.0
52,52.0,2010.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FEDERAL CHARACTER COMMISSION ,1292893892.0
53,53.0,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY OFFICE ,8642392758.0
54,54.0,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,SENATE ,33648644134.0
55,55.0,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,HOUSE OF REPRESENTATIVES ,53148215972.0
56,56.0,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY SERVICE COMMISSION ,1244212781.0
57,57.0,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,LEGISLATIVE AIDES ,5741061623.0
58,58.0,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,SENATE COMMITTEE ON PUBLIC ACCOUNTS ,150000000.0
59,59.0,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,HOUSE COMMITTEE ON PUBLIC ACCOUNTS ,162500000.0
60,60.0,2010.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,GENERAL SERVICE OFFICE ,16045000000.0
61,61.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION) ,42060000000.0
62,62.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS ,28650000000.0
63,63.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,GRATUITIES ,6660000000.0
64,64.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,LOCAL GOVERNMENT PENSIONS AND CONTRIBUTIONS INCLUDING STATE SHARE OF PENSION AND GRATUITY ,4200000000.0
65,65.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST ,250000000.0
66,66.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,REINBURSEMENT TO STATES ,700000000.0
67,67.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,VERIFICATION EXERCISE IN 2010 ,300000000.0
68,68.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,ARREARS OF PENSION ,0.0
69,69.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,RIGHT-SIZED EMPLOYEES PENSION ,1300000000.0
70,70.0,2010.0,OTHERS,RECURRENT  EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),49235145858.0
